age,salary
20,129.24285714285713
21,146.3095238095238
22,164.0
23,182.3952380952381
24,202.0761904761905
25,224.13809523809522
26,242.61904761904762
27,258.2333333333333
28,271.52857142857147
29,282.8333333333333
30,291.06666666666666
31,297.6047619047619
32,305.7095238095238
33,312.83809523809526
34,319.252380952381
35,327.87619047619046
36,335.7238095238095
37,343.14761904761906
38,354.1714285714286
39,362.8285714285714
40,371.0952380952381
41,379.6714285714286
42,386.147619047619
43,391.447619047619
44,400.34285714285716
45,405.5
46,408.8619047619048
47,414.06666666666666
48,415.0904761904762
49,416.2523809523809
